Kunci; 1_nom; 2_gen; 3_dat; 4_acc; 5_nom_art; 6_gen_art; 7_dat_art; 8_acc_art
// Plural declension (without and with article)
// NOTE: Ingame pluralization use this file automatically (always index 1).
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural; 2} looks up 2_GEN.
//

//Core
tunggul archaean; Stumps Archaean diukir
Pohon Archaean; Pohon Archaean
Tunggul archaean hancur; tunggul archaean hancur
Junco; Juncos
lilibly; bunga bakung
Loto; Seroja
buluh; buluh
Boomasas; Boomasas
Bray Bush; beri
Tintoria liar; tintori liar
Pohon Kakao Liar; Pohon Kakao Liar
Memuat torreta; Muat torretas
Torreta proyektil mini; Torretas proyektil mini
Neraka torreta; Neraka torretas
ikan lele; Bowers

//charges
pompa busa firewall; pompa busa firewall
pompa asap; pompa asap
beban busa; beban busa
beban asap; muatan asap
beban burner; beban burner
memuat; beban
tameng; perisai
Granat fragmentasi; granat fragmentasi
melompat;
//misc

Shearing Arqueoteca; cangkang arkeoteknik
//Anomaly
lagu kebencian; lagu benci
pelat nekropofag;
Lonjakan necrophagous; paku necrophagous
pengikut vakum; pengikut vakum
